ID;Descripción;English;Español;;;
1;HomeButton: Play Button;Touch the screen to play;Toca la pantalla para jugar.;;;
2;HomeButton: Options Button;Options;Opciones;;;
3;HomeButton: Exit Button;Exit;Salir;;;
4;OptionsText: TitleOptions;Settings;Opciones;;;
5;OptionsText: TitleResolution;Resolution;Resolución;;;
6;OptionText: TitleVolumeMaster;Master;General;;;
7;OptionText: TitleVolumeBGM;BGM;BGM;;;
8;OptionText: TitleVolumeSFX;SFX;SFX;;;
9;OptionText: TitleVolumeMute;Mute;Silenciar;;;
10;OptionText: TitleLanguage;Language;Lenguaje;;;
11;OptionButton: BackButtonText;Back;Atrás;;;
12;OptionButton: HomeButtonText;Home;Inicio;;;
13;OptionButton: TitleResolutionMute;FullScreen;Pantalla Completa;;;
14;SecondHomeButton: Play Button;Create / Join private room;Crear / Unirse a una sala privada;;;
15;SecondHomeButton: How Button;How to play?;¿Cómo jugar?;;;
16;SecondHomeButton: Credit Button;Credits;Créditos;;;
17;BackButton: Back Button;Back;Volver;;;
18;CreditsButton: Credits Button;Credits;Créditos;;;
19;BrightnessButton: Brightness Button;Brightness;Brillo;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
